dataset,column,description,data_type,module,source_inspiration
denial_reason.csv,case_id,Synthetic denial reason case identifier,text/id,Denial Reason,denial notice/templates and payer policy language
denial_reason.csv,payer_name,Synthetic payer name,categorical,Denial Reason,denial notice/templates and payer policy language
denial_reason.csv,request_type,Type of requested service/drug,categorical,Denial Reason,denial notice/templates and payer policy language
denial_reason.csv,diagnosis_category,Broad condition category,categorical,Denial Reason,denial notice/templates and payer policy language
denial_reason.csv,service_code,Synthetic HCPCS-like service code,text/code,Denial Reason,denial notice/templates and payer policy language
denial_reason.csv,policy_id,Synthetic policy ID used in generated denial text,text/id,Denial Reason,denial notice/templates and payer policy language
denial_reason.csv,supporting_doc_count,Number of submitted supporting documents,numeric,Denial Reason,denial notice/templates and payer policy language
denial_reason.csv,missing_required_conditions,Count of missing required conditions,numeric,Denial Reason,denial notice/templates and payer policy language
denial_reason.csv,denial_text,Generated denial letter paragraph with realistic phrasing/noise,text,Denial Reason,denial notice/templates and payer policy language
denial_reason.csv,short_denial_summary,Short structured reason summary,text,Denial Reason,denial notice/templates and payer policy language
denial_reason.csv,policy_excerpt,Synthetic policy excerpt for context,text,Denial Reason,denial notice/templates and payer policy language
denial_reason.csv,detailed_denial_reason,Detailed reason label including step therapy/quantity/out-of-network,target/categorical,Denial Reason,denial notice/templates and payer policy language
denial_reason.csv,project_reason_class,Mapped project-level reason label,target/categorical,Denial Reason,denial notice/templates and payer policy language
info_inspector.csv,case_id,Synthetic document completeness case identifier,text/id,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,payer_family,High-level payer family,categorical,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,request_type,Type of request,categorical,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,diagnosis_category,Broad condition category,categorical,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,clinical_note_present,Clinical note present flag,binary,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,diagnosis_code_present,Diagnosis code present flag,binary,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,procedure_code_present,Procedure/service code present flag,binary,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,ndc_code_present,Drug code present flag for medication requests,binary,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,lab_report_attached,Lab report attached flag,binary,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,referral_attached,Referral attached flag,binary,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,imaging_report_attached,Imaging report attached flag,binary,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,medication_history_attached,Medication history attached flag,binary,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,pa_form_signed,Prior authorization form signed/submitted flag,binary,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,insurance_card_present,Insurance/benefit information present flag,binary,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,provider_npi_present,Provider NPI field present flag,binary,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,patient_demographics_complete,Patient demographic fields complete flag,binary,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,policy_criteria_checked,Whether policy criteria checklist was reviewed,binary,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,required_fields_total,Total required fields for synthetic case,numeric,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,missing_required_fields_count,Number of required fields missing,numeric,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,total_documents_attached,Total number of documents attached with rare outliers,numeric,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,document_completeness_score_true_synthetic,Synthetic score used to generate label,numeric,Document Completeness,PA submission checklist and documentation completeness logic
info_inspector.csv,completeness_label,Target label Complete or Incomplete,target/categorical,Document Completeness,PA submission checklist and documentation completeness logic
